"name","id","credits","dependencies","credits_required"
"Energía Hidráulica","30.67",2,"[""30.48""]",0
"Energía Solar","30.68",2,"[""30.43""]",0
"Tecnologías del Hidrógeno","30.69",2,"[""31.21"",""30.49"",""30.25""]",0
"Instalaciones Eléctricas","21.41",6,"[""21.08""]",0
"Hidráulica, Neumática y PLC","31.66",3,"[""30.43"",""23.16"",""23.18"",""30.47""]",0
"Aire Acondicionado y Refrigeración","31.73",6,"[""31.21"",""30.47""]",0
"Metalurgia Física I","30.24",4,"[""30.25""]",0
"Introducción al Proceso de Fabricación de Aceros","12.46",3,"[""31.21"",""30.25""]",0
"Integridad Estructural","31.90",3,"[""30.25"",""30.44""]",0
"Deformación y Fractura de Materiales","31.96",3,"[""30.25"",""30.44""]",0
"Corrosión y Degradación de Materiales","31.97",3,"[""30.25"",""30.44""]",0
"Física y Mecánica de Aceros","31.95",3,"[""30.24""]",0
"Materiales Poliméricos","31.30",3,"[""30.25""]",0
"Tecnología de Materiales Compuestos","31.94",3,"[""30.25"",""30.44""]",0
"Mecánica de Fluidos Computacional","30.14",3,"[""30.48""]",0
"Mecánica del Continuo","30.50",3,"[""30.42""]",0
"Mecánica de Sólidos Computacional","30.53",4,"[""93.07"",""30.44""]",0
"Mecánica de Sólidos Computacional Avanzada","30.54",3,"[""30.53""]",0
"Microprocesadores y Control","22.57",6,"[""23.16"",""23.18""]",0
"Electrónica Industrial","23.07",3,"[""23.16"",""23.18""]",0
"Automación Industrial","22.90",6,"[""23.16"",""23.18""]",0
"Sistemas Mecatrónicos","31.82",3,"[""22.57""]",0
"Estructura de Buques","32.49",6,"[""30.44""]",0
"Construcción Naval","32.54",6,"[""32.66"",""30.44""]",0
"Hidrostática y Estabilidad","32.66",6,"[""92.03"",""93.41"",""31.08""]",0
"Resistencia y Propulsión","32.69",6,"[""32.66""]",0
"Dinámica del Autómovil Avanzada","30.20",3,"[""30.19""]",0
"Ciclos Reales en Motores de Combustión Interna","30.21",3,"[""30.09""]",0
"Proceso de Combustión en Motores de Combustión Interna","30.22",3,"[""30.21""]",0
"Sensores y Actuadores","22.56",3,"[""23.16"",""23.18""]",0
"Control Discreto","22.94",6,"[""22.57""]",0
"Introducción a la Ing. Naval","32.06",3,"[]",0
"Electrónica e Instrumentación","22.10",6,"[""92.04"",""21.08""]",0
"Motores Marinos","32.03",6,"[""30.49""]",0
"Alistamiento Naval","32.56",6,"[""31.21"",""31.22"",""32.66""]",0
"Plantas Propulsoras Marinas","32.64",6,"[""22.10"",""30.45"",""32.03""]",0
"Proyecto de Buques","32.72",6,"[""32.54"",""32.56"",""30.45"",""32.03""]",0
"Astilleros y Mantenimiento de Buques","32.05",4,"[]",144
"Práctica de Embarque","32.70",0,"[]",200
"Proyecto de Embarcaciones de Trabajo","32.71",4,"[""32.54"",""32.56"",""30.45"",""32.03""]",0
"Proyecto Final (Anual)","32.73",3,"[""32.72""]",0
"Química Inorgánica","13.01",6,"[""12.67""]",0
"Introducción a la Ingeniería Química","17.01",3,"[""12.67""]",0
"Química Orgánica I","13.03",6,"[""13.01""]",0
"Procesos Industriales","17.02",3,"[""93.41"",""17.01""]",0
"Química Orgánica II","12.33",6,"[""13.03""]",0
"Química Analítica","12.19",6,"[""13.01"",""93.24""]",0
"Química-Física","12.20",6,"[""92.03"",""17.02""]",0
"Bioquímica y Microbiología Aplicadas","17.03",5,"[""12.33"",""16.55""]",0
"Materiales para la Industria Química","30.62",3,"[""13.01"",""93.42""]",0
"Termodinámica","12.26",6,"[""12.20""]",0
"Fenómenos de Transporte","17.04",6,"[""12.20""]",0
"Instalaciones Mecánicas en Plantas de Proceso","30.61",6,"[""30.62"",""93.41"",""31.08""]",0
"Operaciones Unitarias I","12.11",6,"[""30.61"",""17.04"",""12.26""]",0
"Operaciones Unitarias II","12.12",6,"[""17.04"",""12.26""]",0
"Ingenieria de Reacciones y Reactores I","12.24",6,"[""17.04"",""93.07""]",0
"Operaciones Unitarias III","12.13",6,"[""12.11""]",0
"Ingeniería de Reacciones y Reactores II","12.25",4,"[""12.24"",""12.11"",""17.03""]",0
"Simulación de Procesos","12.27",3,"[""12.11"",""12.12""]",0
"Control de Procesos","17.05",4,"[""12.12"",""92.05""]",0
"Diseño Conceptual de Procesos","12.85",4,"[""12.24"",""12.13"",""12.27""]",0
"Proyecto Final de Carrera I","17.06",6,"[""12.13"",""12.27"",""17.05""]",0
"Gestión de la Salud y la Seguridad en el Trabajo","12.66",3,"[]",168
"Proyecto Final de Carrera II","17.07",3,"[""17.06""]",0
"Introducción a la Ingeniería Ambiental","17.15",3,"[""12.11""]",0
"Introducción a la Administración","81.06",6,"[]",0
"Sistemas Contables","81.07",6,"[]",0
"Álgebra","93.21",6,"[]",0
"Análisis Matemático","93.20",6,"[]",0
"Panorama Histórico Global","94.60",3,"[]",0
"Filosofía","94.61",3,"[]",0
"Microeconomía","61.81",3,"[""93.20""]",0
"Contabilidad Gerencial","81.11",6,"[""81.07""]",0
"Estadística","93.39",6,"[""71.20"",""93.20""]",0
"Ética en los Negocios","94.62",3,"[]",0
"Gestión Financiera","61.12",6,"[""81.11"",""81.07"",""93.21""]",0
"Macroeconomía","61.82",3,"[""93.20""]",0
"Comercialización","81.20",3,"[""81.06""]",0
"Epistemología y Heurística","94.63",3,"[""94.61""]",0
"Inglés I (analista)","94.90",0,"[]",0
"Gestión de Operaciones","11.83",6,"[""93.39"",""81.06""]",0
"Gestión de Ventas","81.21",3,"[""81.20""]",0
"Estructura de las Organizaciones","94.40",3,"[""81.06""]",0
"Gestión de Proyectos","11.84",3,"[""93.39"",""81.06""]",0
"Toma de Decisiones","11.85",6,"[""93.39"",""81.06""]",0
"Formación para Emprendedores","10.09",3,"[""94.40""]",0
"Comercio Exterior","81.26",3,"[]",0
"Comercio Electrónico","81.23",3,"[""81.53""]",0
"Inglés II (licenciado)","94.91",0,"[""94.90""]",0
"Utilitarios en Informática","71.80",6,"[]",0
"Matemática Aplicada","82.15",6,"[""93.20"",""93.21""]",0
"Estructura de Datos y Programación","71.45",6,"[""71.20""]",0
"Visualización de Información","72.74",3,"[""71.20""]",0
"Derecho Público y Privado I","61.87",3,"[""94.60"",""94.61""]",0
"Proyecto I","82.01",3,"[]",96
"Gestión del Ciclo de Vida de la Información","82.03",3,"[""71.88""]",0
"Analítica Descriptiva","82.04",6,"[""71.88""]",0
"Investigación de Operaciones I","11.86",3,"[""11.67"",""93.20"",""93.21""]",0
"Análisis Predictivo","82.05",6,"[""11.67""]",0
"Investigación de Operaciones II","11.87",3,"[""11.67"",""11.86""]",0
"Proyecto Final - Analítica","82.02",3,"[""82.05"",""72.74"",""82.04"",""11.87"",""82.03"",""82.01""]",0
"Introducción a la tecnología informática","71.30",3,"[]",0
"Programación web","71.38",3,"[""71.30""]",0
"Negocios en Internet","81.53",3,"[""71.30"",""81.06""]",0
"Gestión organizacional basada en procesos de negocio","81.29",6,"[""81.06"",""71.20""]",0
"Análisis funcional de aplicaciones informáticas","81.32",3,"[""71.20""]",0
"Prácticas Expositivas","94.64",3,"[]",24
"Impuestos para la toma de decisiones I","81.47",3,"[""81.11"",""61.82"",""61.87""]",0
"Arquitectura de soluciones digitales","81.57",3,"[""81.32"",""71.88"",""81.53""]",0
"Impuestos para la toma de decisiones II","81.48",3,"[""81.47""]",0
"Sistemas Integrados de Gestión I","81.68",3,"[""81.11"",""81.29""]",0
"Administración de Recursos Humanos","94.27",3,"[""61.87""]",0
"Arquitectura empresarial","81.34",3,"[""81.57"",""81.29""]",0
"Estrategia Empresarial","81.42",3,"[]",144
